Frankenstein,4:44,The Edgar Winter Group,They Only Come Out at Night,Rock,100
Too Much Is Never Enough,5:48,Florence + The Machine,Songs from FINAL FANTASY ⅩⅤ,Alternative,60
Stand By Me,4:06,Florence + The Machine,Songs from FINAL FANTASY ⅩⅤ,Alternative,100
I Will Be,5:25,Florence + The Machine,Songs from FINAL FANTASY ⅩⅤ,Alternative,40
Welcome To The Jungle,4:34,Guns N' Roses,Appetite for Destruction,Rock,100
It's So Easy,3:23,Guns N' Roses,Appetite for Destruction,Rock,40
Nightrain,4:29,Guns N' Roses,Appetite for Destruction,Rock,100
Out Ta Get Me,4:24,Guns N' Roses,Appetite for Destruction,Rock,80
Mr. Brownstone,3:49,Guns N' Roses,Appetite for Destruction,Rock,80
Paradise City,6:47,Guns N' Roses,Appetite for Destruction,Rock,100
My Michelle,3:40,Guns N' Roses,Appetite for Destruction,Rock,60
Think About You,3:52,Guns N' Roses,Appetite for Destruction,Rock,40
Sweet Child O' Mine,5:56,Guns N' Roses,Appetite for Destruction,Rock,100
You're Crazy,3:17,Guns N' Roses,Appetite for Destruction,Rock,40
Anything Goes,3:26,Guns N' Roses,Appetite for Destruction,Rock,60
Rocket Queen,6:13,Guns N' Roses,Appetite for Destruction,Rock,80
Johnny Cage (Prepare Yourself),3:41,The Immortals,Mortal Kombat: The Album,Electronic,20
Kano (Use Your Might),3:48,The Immortals,Mortal Kombat: The Album,Electronic,20
Sub-Zero (Chinese Ninja Warror),3:53,The Immortals,Mortal Kombat: The Album,Electronic,40
Liu Kang (Born In China),4:09,The Immortals,Mortal Kombat: The Album,Electronic,20
Techno Syndrome (Mortal Kombat),3:26,The Immortals,Mortal Kombat: The Album,Electronic,100
Scorpion (Lost Soul Bent On Revenge),3:52,The Immortals,Mortal Kombat: The Album,Electronic,40
Sonya (Go Go Go),3:36,The Immortals,Mortal Kombat: The Album,Electronic,20
Rayden (Eternal Life),3:47,The Immortals,Mortal Kombat: The Album,Electronic,60
Goro (The Outworld Prince),3:36,The Immortals,Mortal Kombat: The Album,Electronic,20
Hypnotic House (Mortal Kombat),3:45,The Immortals,Mortal Kombat: The Album,Electronic,60
Prologue,1:18,Jeremy Zuckerman,The Legend of Korra: Original Music from Book One,Soundtrack,80
Air Tight,2:54,Jeremy Zuckerman,The Legend of Korra: Original Music from Book One,Soundtrack,20
In A Box,1:37,Jeremy Zuckerman,The Legend of Korra: Original Music from Book One,Soundtrack,60
An Impossible Crime,2:11,Jeremy Zuckerman,The Legend of Korra: Original Music from Book One,Soundtrack,40
Being Patient / Beifong's Sacrifice,4:20,Jeremy Zuckerman,The Legend of Korra: Original Music from Book One,Soundtrack,80
Asami And Mako Dine,1:10,Jeremy Zuckerman,The Legend of Korra: Original Music from Book One,Soundtrack,60
On The Lam,1:19,Jeremy Zuckerman,The Legend of Korra: Original Music from Book One,Soundtrack,60
Hittin' On All Sixes,2:40,Jeremy Zuckerman,The Legend of Korra: Original Music from Book One,Soundtrack,40
Good Ol' Days,1:41,Jeremy Zuckerman,The Legend of Korra: Original Music from Book One,Soundtrack,60
Before,7:38,Jeremy Zuckerman,The Legend of Korra: Original Music from Book One,Soundtrack,60
Fresh Air,1:06,Jeremy Zuckerman,The Legend of Korra: Original Music from Book One,Soundtrack,80
Korra Confronts Tarrlok,3:00,Jeremy Zuckerman,The Legend of Korra: Original Music from Book One,Soundtrack,40
Squeaky Rags,1:44,Jeremy Zuckerman,The Legend of Korra: Original Music from Book One,Soundtrack,60
Amon,3:02,Jeremy Zuckerman,The Legend of Korra: Original Music from Book One,Soundtrack,60
Chi Blockers,2:18,Jeremy Zuckerman,The Legend of Korra: Original Music from Book One,Soundtrack,80
A Peaceful Place,2:03,Jeremy Zuckerman,The Legend of Korra: Original Music from Book One,Soundtrack,80
Left My Heart In Republic City,2:40,Jeremy Zuckerman,The Legend of Korra: Original Music from Book One,Soundtrack,60
Firebending Training,1:16,Jeremy Zuckerman,The Legend of Korra: Original Music from Book One,Soundtrack,80
Wheels,2:48,Jeremy Zuckerman,The Legend of Korra: Original Music from Book One,Soundtrack,80
Republic City Under Attack,4:03,Jeremy Zuckerman,The Legend of Korra: Original Music from Book One,Soundtrack,80
Hardboiled...Afraid (Separate Ways),1:20,Jeremy Zuckerman,The Legend of Korra: Original Music from Book One,Soundtrack,40
War,2:04,Jeremy Zuckerman,The Legend of Korra: Original Music from Book One,Soundtrack,60
Asami And Hiroshi / Korra Airbends,4:24,Jeremy Zuckerman,The Legend of Korra: Original Music from Book One,Soundtrack,60
Greatest Change,5:16,Jeremy Zuckerman,The Legend of Korra: Original Music from Book One,Soundtrack,60
The Legend Of Korra End Credits,0:31,Jeremy Zuckerman,The Legend of Korra: Original Music from Book One,Soundtrack,40
The Legend Of Korra Main Title,0:28,Jeremy Zuckerman,The Legend of Korra: Original Music from Book One,Soundtrack,60
In The Jungle,4:13,John Williams,Raiders of the Lost Ark - Original Motion Picture Soundtrack,Soundtrack,40
